respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,is_home_song,home_song_count
51,yes,Russia,more than 2 years,Male,Neither home nor NL,,5- Entirely,4- Slightly increased,5,7 - Strongly agree,5,4,4,5,2,Natural,Imagine Dragons,189466,81,0.704,0.611,2,-6.112,1,0.041,0.217,0.0,0.0812,0.22,99.994,4,False,1
51,yes,Russia,more than 2 years,Male,Neither home nor NL,,5- Entirely,4- Slightly increased,5,7 - Strongly agree,5,4,4,5,3,Here comes the sun,The Beatles,185733,83,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.177,4,False,1
52,yes,Russia,1–2 years,Female,Neither home nor NL,,4- Much,2-Slightly decreased,5,6,4,3,3,7 - Strongly agree,1,Supergirl Reamonn,Reamonn,246066,61,0.662,0.515,6,-9.501,0,0.0296,0.136,0.011,0.0925,0.376,116.24,4,False,1
52,yes,Russia,1–2 years,Female,Neither home nor NL,,4- Much,2-Slightly decreased,5,6,4,3,3,7 - Strongly agree,2,The Sound of Believer And One,And One,262480,39,0.626,0.706,5,-7.735,0,0.0282,0.0472,0.717,0.0968,0.294,105.036,4,False,1
52,yes,Russia,1–2 years,Female,Music from my home country/culture,,4- Much,2-Slightly decreased,5,6,4,3,3,7 - Strongly agree,3,Демобилизация Сектор Газа,Сектор Газа,234146,46,0.621,0.948,11,-5.298,0,0.043,0.00108,5.63e-05,0.0797,0.75,101.973,4,True,1
55,yes,Russia,more than 2 years,Male,Music from my home country/culture,,5- Entirely,5 - Strongly increased,7 - Strongly agree,5,7 - Strongly agree,5,4,2,1,Maxim Svoboda - On different sides ,Максим Свобода,174585,18,0.529,0.264,1,-8.717,0,0.0364,0.83,2e-06,0.197,0.224,134.711,4,True,2
55,yes,Russia,more than 2 years,Male,Neither home nor NL,,5- Entirely,5 - Strongly increased,7 - Strongly agree,5,7 - Strongly agree,5,4,2,2,Jungle - Keep moving ,Jungle,240880,67,0.723,0.604,10,-6.254,0,0.0319,0.179,0.000463,0.0939,0.562,111.497,4,False,2
55,yes,Russia,more than 2 years,Male,Music from my home country/culture,,5- Entirely,5 - Strongly increased,7 - Strongly agree,5,7 - Strongly agree,5,4,2,3,Amchi - Honey,AMCHI,101421,12,0.84,0.655,6,-6.528,0,0.244,0.439,0.0,0.527,0.38,96.036,4,True,2
56,yes,Russia,1–2 years,Male,Music from my home country/culture,,1- Not at all,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,2,2,2,4,1,так похуй,madk1d,108000,67,0.598,0.813,10,-4.188,0,0.169,0.00179,8.74e-05,0.128,0.764,80.008,4,True,2
56,yes,Russia,1–2 years,Male,Music from my home country/culture,,1- Not at all,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,2,2,2,4,2,ParisLove,FORTUNA 812,109870,66,0.614,0.622,0,-6.989,1,0.0425,0.00984,3.96e-05,0.171,0.187,140.061,4,True,2
56,yes,Russia,1–2 years,Male,Neither home nor NL,,1- Not at all,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,2,2,2,4,3,Oh Ok - release the files,"ian, shonci",100870,54,0.838,0.595,1,-4.65,1,0.386,0.0131,0.0,0.115,0.444,152.979,4,False,2
61,yes,Russia,1–2 years,Female,Music from my home country/culture,,5- Entirely,5 - Strongly increased,5,2,7 - Strongly agree,7 - Strongly agree,2,3,1,Baby - Face,FACE,152424,55,0.765,0.783,5,-5.276,0,0.0334,0.0669,0.0,0.239,0.686,139.923,4,True,1
61,yes,Russia,1–2 years,Female,Neither home nor NL,,5- Entirely,5 - Strongly increased,5,2,7 - Strongly agree,7 - Strongly agree,2,3,2,CHIHIRO - Billie Eilish,Billie Eilish,303440,87,0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4,False,1
61,yes,Russia,1–2 years,Female,Neither home nor NL,,5- Entirely,5 - Strongly increased,5,2,7 - Strongly agree,7 - Strongly agree,2,3,3,Only girl - Rihanna,Rihanna,235493,75,0.789,0.716,11,-4.241,0,0.0432,0.129,1.07e-05,0.069,0.611,125.906,4,False,1
63,yes,Lithuania,1–2 years,Male,Music from my home country/culture,,4- Much,5 - Strongly increased,5,5,6,4,6,4,1,Personažas - Lilas & Innomine,Lilas ir Innomine,224013,38,0.707,0.506,5,-10.063,0,0.0344,0.788,0.000281,0.101,0.205,109.993,4,True,3
63,yes,Lithuania,1–2 years,Male,Music from my home country/culture,,4- Much,5 - Strongly increased,5,5,6,4,6,4,2,Paskutinė Minutė - Mėlyna,Mėlyna,210882,37,0.583,0.459,1,-13.704,0,0.0281,0.472,0.0568,0.126,0.26,101.976,4,True,3
63,yes,Lithuania,1–2 years,Male,Music from my home country/culture,,4- Much,5 - Strongly increased,5,5,6,4,6,4,3,Impossible - SHWR,SHWR,171600,33,0.616,0.427,9,-9.104,0,0.0354,0.426,0.0,0.0883,0.246,150.145,3,True,3
64,yes,Iran,1–2 years,Male,Neither home nor NL,,2- Slightly,4- Slightly increased,7 - Strongly agree,6,4,4,6,6,1,Welcome to Japan (Strokes),The Strokes,230826,64,0.705,0.666,2,-7.23,0,0.0303,0.00233,0.0149,0.174,0.646,124.032,4,False,2
64,yes,Iran,1–2 years,Male,Music from my home country/culture,,2- Slightly,4- Slightly increased,7 - Strongly agree,6,4,4,6,6,2,Ostekhoon (127),127,192266,22,0.617,0.73,10,-7.899,0,0.0447,0.45,0.854,0.119,0.738,143.036,4,True,2
64,yes,Iran,1–2 years,Male,Music from my home country/culture,,2- Slightly,4- Slightly increased,7 - Strongly agree,6,4,4,6,6,3,Khosro-e Khooban (127),127,217826,21,0.762,0.656,5,-6.265,0,0.049,0.241,0.446,0.182,0.846,127.006,4,True,2
65,yes,Ukraine,more than 2 years,Female,Music from my home country/culture,,4- Much,3- No change,6,6,6,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,1,П.П.М.Л,Земфира,217173,0,0.497,0.723,9,-8.388,0,0.03,0.00172,0.0531,0.496,0.582,142.695,4,True,3
65,yes,Ukraine,more than 2 years,Female,Music from my home country/culture,,4- Much,3- No change,6,6,6,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,2,Yes future,Noize MC,189173,52,0.506,0.944,9,-3.067,1,0.317,0.115,0.0,0.167,0.734,129.993,4,True,3
65,yes,Ukraine,more than 2 years,Female,Music from my home country/culture,,4- Much,3- No change,6,6,6,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,3,Where is my husband ,RAYE,196795,96,0.39,0.781,8,-7.04,1,0.0918,0.0599,0.0,0.14,0.628,115.939,4,True,3
67,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,2- Slightly,4- Slightly increased,3,3,5,5,4,3,1,50 feet,SoMo,185714,60,0.515,0.458,10,-9.854,1,0.0868,0.158,0.0,0.0919,0.117,92.988,3,False,1
67,yes,Taiwan,more than 2 years,Female,Music from my home country/culture,,2- Slightly,4- Slightly increased,3,3,5,5,4,3,2,Crush on,李浩瑋 Howard Lee,181598,43,0.475,0.522,7,-6.351,1,0.118,0.634,0.0,0.153,0.571,74.755,4,True,1
67,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,2- Slightly,4- Slightly increased,3,3,5,5,4,3,3,Nokia,Drake,241023,85,0.537,0.727,5,-4.184,1,0.15,0.247,0.0,0.173,0.508,106.037,4,False,1
