respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,is_home_song,home_song_count
42,yes,China,more than 2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1,Fortnight by Taylor Swift. Featuring. Post Malone,"Taylor Swift, Post Malone",228965,82,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,4,False,0
42,yes,China,more than 2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,2,NOKIA by Drake,Drake,241023,85,0.537,0.727,5,-4.184,1,0.15,0.247,0.0,0.173,0.508,106.037,4,False,0
42,yes,China,more than 2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,3,iPad by The Chainsmokers,The Chainsmokers,202406,56,0.665,0.628,2,-6.297,1,0.026,0.00502,2.02e-05,0.0947,0.551,121.979,4,False,0
43,yes,Russia,1–2 years,Male,Neither home nor NL,,2- Slightly,3- No change,1 - Strongly Disagree,3,3,3,4,4,1,This could be us,Rae Sremmurd,206306,78,0.732,0.69,0,-4.992,0,0.134,0.291,0.0,0.116,0.758,143.072,4,False,0
43,yes,Russia,1–2 years,Male,Neither home nor NL,,2- Slightly,3- No change,1 - Strongly Disagree,3,3,3,4,4,2,BIRDS OF A FEATHER,Billie Eilish,210373,95,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,False,0
43,yes,Russia,1–2 years,Male,Neither home nor NL,,2- Slightly,3- No change,1 - Strongly Disagree,3,3,3,4,4,3,Just Dance,"Lady Gaga, Colby O'Donis",241933,84,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.28e-05,0.181,0.745,118.99,4,False,0
50,yes,Belgium,1–2 years,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,3,4,5,3,5,5,1,Dare,"Gorillaz, Shaun Ryder, Roses Gabor",244999,83,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,4,False,0
50,yes,Belgium,1–2 years,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,3,4,5,3,5,5,2,Softcore,The Neighbourhood,206280,86,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4,False,0
50,yes,Belgium,1–2 years,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,3,4,5,3,5,5,3,A little death,The Neighbourhood,209706,72,0.53,0.763,6,-4.712,0,0.0332,0.0026,1.86e-06,0.105,0.338,88.013,4,False,0
53,yes,Ukraine,more than 2 years,Male,Neither home nor NL,,4- Much,1- Strongly decreased,3,1 - Strongly Disagree,3,2,2,2,1,Mockingbird Eminem,Eminem,250760,87,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,4,False,0
53,yes,Ukraine,more than 2 years,Male,Neither home nor NL,,4- Much,1- Strongly decreased,3,1 - Strongly Disagree,3,2,2,2,2,V Dobrom aj v zlom zuzana smatanova,Zuzana Smatanova,176127,37,0.315,0.758,2,-5.588,0,0.074,0.497,0.0,0.112,0.387,187.69,4,False,0
53,yes,Ukraine,more than 2 years,Male,Neither home nor NL,,4- Much,1- Strongly decreased,3,1 - Strongly Disagree,3,2,2,2,3,This is the life Amy Macdonald,Amy Macdonald,184413,79,0.628,0.882,1,-5.024,0,0.0323,0.259,0.0,0.065,0.853,95.083,4,False,0
