respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
30,yes,Brazil,more than 2 years,Male,Neither home nor NL,,3- Neutral,4- Slightly increased,2,3,5,6,1 - Strongly Disagree,2,3,Chopin C Minor ,Noble Music Project,242095,21,0.309,0.095,6,-22.75,0,0.0462,0.984,0.936,0.0966,0.0951,62.52,4
31,yes,Taiwan,more than 2 years,Male,Neither home nor NL,,1- Not at all,2-Slightly decreased,5,2,5,4,5,5,1,Home Sweet Home,"G-DRAGON, TAEYANG, DAESUNG",211330,65,0.633,0.752,10,-4.5,0,0.0726,0.00275,1.45e-06,0.0966,0.408,149.947,4
31,yes,Taiwan,more than 2 years,Male,Neither home nor NL,,1- Not at all,2-Slightly decreased,5,2,5,4,5,5,2,Beautiful Things,Benson Boone,180304,85,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
31,yes,Taiwan,more than 2 years,Male,Music from my home country/culture,,1- Not at all,2-Slightly decreased,5,2,5,4,5,5,3,幾乎是愛情,Eric Chou,253728,52,0.487,0.252,1,-10.135,1,0.0261,0.853,0.0,0.111,0.307,80.089,4
32,yes,Italy,more than 2 years,Female,Music from my home country/culture,,3- Neutral,4- Slightly increased,3,3,3,5,3,1 - Strongly Disagree,1,Lacrime di Coccodrillo,"Joe Barbieri, Chiara Civello",271491,30,0.578,0.343,11,-10.375,0,0.0346,0.788,0.000324,0.0842,0.291,99.916,4
32,yes,Italy,more than 2 years,Female,Music from my home country/culture,,3- Neutral,4- Slightly increased,3,3,3,5,3,1 - Strongly Disagree,2,Chillato,"Mattak, Disse",203598,30,0.845,0.624,4,-5.054,0,0.279,0.157,4.79e-05,0.125,0.207,87.172,4
32,yes,Italy,more than 2 years,Female,Music from my home country/culture,,3- Neutral,4- Slightly increased,3,3,3,5,3,1 - Strongly Disagree,3,Solipsia,"Mattak, Silent Bob",214914,32,0.693,0.664,7,-5.686,0,0.363,0.217,0.0,0.116,0.414,68.285,4
34,yes,France,more than 2 years,Female,Neither home nor NL,,3- Neutral,2-Slightly decreased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1,Normal girl,SZA,253590,76,0.624,0.532,0,-7.146,1,0.124,0.269,5.17e-05,0.158,0.362,76.453,4
34,yes,France,more than 2 years,Female,Neither home nor NL,,3- Neutral,2-Slightly decreased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,2,TBH,PARTYNEXTDOOR,123080,81,0.543,0.681,1,-7.876,0,0.0477,0.159,1.49e-06,0.298,0.154,124.926,4
34,yes,France,more than 2 years,Female,Neither home nor NL,,3- Neutral,2-Slightly decreased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,3,Twenty eight ,The Weeknd,258453,63,0.638,0.633,3,-7.338,0,0.0355,0.574,0.000224,0.111,0.243,130.006,4
